#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCG2	CCND1	9606.ENSP00000498246	9606.ENSP00000227507	0	0	0	0	0	0	0	0.490	0.490
ABCG2	STAT3	9606.ENSP00000498246	9606.ENSP00000264657	0	0	0	0	0	0	0	0.659	0.659
ABCG2	MET	9606.ENSP00000498246	9606.ENSP00000317272	0	0	0	0	0.062	0.044	0	0.479	0.492
ABCG2	BCL2L1	9606.ENSP00000498246	9606.ENSP00000365230	0	0	0	0	0.076	0	0	0.464	0.484
ABCG2	SLC2A1	9606.ENSP00000498246	9606.ENSP00000416293	0	0	0	0	0.097	0.045	0	0.496	0.528
ABCG2	HIF1A	9606.ENSP00000498246	9606.ENSP00000437955	0	0	0	0	0.047	0	0	0.509	0.512
ALOX5	STAT3	9606.ENSP00000363512	9606.ENSP00000264657	0	0	0	0	0.069	0	0	0.604	0.615
ALOX5	CCR1	9606.ENSP00000363512	9606.ENSP00000296140	0	0	0	0	0.162	0	0	0.356	0.437
ALOX5	CD14	9606.ENSP00000363512	9606.ENSP00000385519	0	0	0	0	0.329	0	0	0.166	0.416
ALOX5	MGST1	9606.ENSP00000363512	9606.ENSP00000379512	0	0	0	0	0.042	0	0	0.515	0.515
ALOX5	EPHX2	9606.ENSP00000363512	9606.ENSP00000430269	0	0	0	0	0	0.050	0	0.514	0.519
ALOX5	PLA2G2A	9606.ENSP00000363512	9606.ENSP00000383364	0	0	0	0	0.042	0	0.650	0.480	0.810
ALOX5	ALOX5AP	9606.ENSP00000363512	9606.ENSP00000479870	0	0	0	0	0.359	0.621	0.500	0.991	0.998
ALOX5AP	MGST1	9606.ENSP00000479870	9606.ENSP00000379512	0	0	0	0	0	0	0	0.894	0.894
ALOX5AP	EPHX2	9606.ENSP00000479870	9606.ENSP00000430269	0	0	0	0	0	0	0	0.610	0.610
ANPEP	CD38	9606.ENSP00000300060	9606.ENSP00000226279	0	0	0	0	0	0	0	0.720	0.720
ANPEP	MME	9606.ENSP00000300060	9606.ENSP00000418525	0.043	0	0	0	0.089	0	0	0.893	0.898
BCL2L1	CTSC	9606.ENSP00000365230	9606.ENSP00000227266	0	0	0	0	0	0	0.900	0.137	0.910
BCL2L1	CCND1	9606.ENSP00000365230	9606.ENSP00000227507	0	0	0	0	0.052	0	0	0.806	0.808
BCL2L1	STAT3	9606.ENSP00000365230	9606.ENSP00000264657	0	0	0	0	0.055	0.095	0.750	0.790	0.949
BCL2L1	CDK2	9606.ENSP00000365230	9606.ENSP00000266970	0	0	0	0	0.047	0.115	0	0.633	0.664
BCL2L1	MAP2K1	9606.ENSP00000365230	9606.ENSP00000302486	0	0	0	0	0.052	0	0	0.551	0.557
BCL2L1	FOS	9606.ENSP00000365230	9606.ENSP00000306245	0	0	0	0	0	0	0	0.681	0.681
BCL2L1	MET	9606.ENSP00000365230	9606.ENSP00000317272	0	0	0	0	0.059	0	0	0.485	0.495
BCL2L1	NQO1	9606.ENSP00000365230	9606.ENSP00000319788	0	0	0	0	0.042	0	0	0.411	0.412
BCL2L1	SOCS3	9606.ENSP00000365230	9606.ENSP00000330341	0	0	0	0	0.046	0	0	0.462	0.465
BCL2L1	SLC2A1	9606.ENSP00000365230	9606.ENSP00000416293	0	0	0	0	0.141	0	0	0.370	0.435
BCL2L1	HIF1A	9606.ENSP00000365230	9606.ENSP00000437955	0	0	0	0	0	0.094	0	0.655	0.674
BCL2L1	CDKN1A	9606.ENSP00000365230	9606.ENSP00000384849	0	0	0	0	0.134	0	0	0.673	0.704
BCL2L1	SNCA	9606.ENSP00000365230	9606.ENSP00000500990	0	0	0	0	0.261	0.096	0	0.596	0.706
BCL2L1	CASP1	9606.ENSP00000365230	9606.ENSP00000433138	0	0	0	0	0	0.354	0	0.596	0.728
BCL2L1	JAK2	9606.ENSP00000365230	9606.ENSP00000371067	0	0	0	0	0.049	0	0	0.761	0.763
BLM	CDK2	9606.ENSP00000347232	9606.ENSP00000266970	0	0	0	0	0.134	0.130	0.500	0.200	0.658
CASP1	RIPK2	9606.ENSP00000433138	9606.ENSP00000220751	0	0	0	0	0.113	0.311	0	0.773	0.849
CASP1	SERPINE1	9606.ENSP00000433138	9606.ENSP00000223095	0	0	0	0	0.055	0	0.540	0.307	0.672
CASP1	STAT3	9606.ENSP00000433138	9606.ENSP00000264657	0	0	0	0	0.101	0	0	0.583	0.609
CASP1	CCR1	9606.ENSP00000433138	9606.ENSP00000296140	0	0	0	0	0.229	0	0	0.253	0.400
CASP1	FOS	9606.ENSP00000433138	9606.ENSP00000306245	0	0	0	0	0.095	0	0	0.724	0.740
CASP1	NQO1	9606.ENSP00000433138	9606.ENSP00000319788	0	0	0	0	0.042	0	0	0.432	0.433
CASP1	SOCS3	9606.ENSP00000433138	9606.ENSP00000330341	0	0	0	0	0.140	0	0	0.375	0.440
CASP1	PTPN1	9606.ENSP00000433138	9606.ENSP00000360683	0	0	0	0	0.042	0	0	0.411	0.411
CASP1	JAK2	9606.ENSP00000433138	9606.ENSP00000371067	0	0	0	0	0.226	0.067	0	0.401	0.530
CASP1	SNCA	9606.ENSP00000433138	9606.ENSP00000500990	0	0	0	0	0.106	0	0	0.409	0.449
CASP1	HIF1A	9606.ENSP00000433138	9606.ENSP00000437955	0	0	0	0	0.056	0	0	0.499	0.506
CCND1	SERPINE1	9606.ENSP00000227507	9606.ENSP00000223095	0	0	0	0	0.107	0	0	0.627	0.652
CCND1	CD38	9606.ENSP00000227507	9606.ENSP00000226279	0	0	0	0	0	0	0	0.446	0.446
CCND1	NQO1	9606.ENSP00000227507	9606.ENSP00000319788	0	0	0	0	0.107	0	0	0.391	0.432
CCND1	SOCS3	9606.ENSP00000227507	9606.ENSP00000330341	0	0	0	0	0.074	0	0	0.421	0.441
CCND1	SLC2A1	9606.ENSP00000227507	9606.ENSP00000416293	0	0	0	0	0.074	0	0	0.445	0.464
CCND1	PIM1	9606.ENSP00000227507	9606.ENSP00000362608	0	0	0	0	0.081	0	0.400	0.193	0.516
CCND1	LDHA	9606.ENSP00000227507	9606.ENSP00000445175	0	0	0	0	0.060	0	0	0.572	0.580
CCND1	MET	9606.ENSP00000227507	9606.ENSP00000317272	0	0	0	0	0.109	0	0	0.629	0.655
CCND1	MME	9606.ENSP00000227507	9606.ENSP00000418525	0	0	0	0	0	0	0	0.717	0.717
CCND1	MAP2K1	9606.ENSP00000227507	9606.ENSP00000302486	0	0	0	0	0.059	0	0	0.746	0.751
CCND1	JAK2	9606.ENSP00000227507	9606.ENSP00000371067	0	0	0	0	0.055	0	0.400	0.760	0.852
CCND1	HIF1A	9606.ENSP00000227507	9606.ENSP00000437955	0	0	0	0	0.042	0	0.400	0.802	0.876
CCND1	FOS	9606.ENSP00000227507	9606.ENSP00000306245	0	0	0	0	0.055	0.469	0.500	0.799	0.942
CCND1	STAT3	9606.ENSP00000227507	9606.ENSP00000264657	0	0	0	0	0.054	0.644	0.500	0.898	0.980
CCND1	CDK2	9606.ENSP00000227507	9606.ENSP00000266970	0	0	0	0	0.135	0.901	0.800	0.998	0.999
CCND1	CDKN1A	9606.ENSP00000227507	9606.ENSP00000384849	0	0	0	0	0.118	0.996	0.900	0.995	0.999
CCR1	STAT3	9606.ENSP00000296140	9606.ENSP00000264657	0	0	0	0	0.076	0.076	0.500	0.412	0.716
CCR1	CD14	9606.ENSP00000296140	9606.ENSP00000385519	0	0	0	0	0.363	0	0	0.129	0.422
CCR1	FOS	9606.ENSP00000296140	9606.ENSP00000306245	0	0	0	0	0.056	0	0	0.510	0.517
CCR1	JAK2	9606.ENSP00000296140	9606.ENSP00000371067	0	0	0	0	0.119	0	0.650	0.253	0.749
CD14	FGF1	9606.ENSP00000385519	9606.ENSP00000480791	0	0	0	0	0.049	0	0	0.426	0.430
CD38	NAMPT	9606.ENSP00000226279	9606.ENSP00000222553	0	0	0	0	0.042	0	0.900	0.575	0.955
CD38	STAT3	9606.ENSP00000226279	9606.ENSP00000264657	0	0	0	0	0.060	0	0	0.474	0.484
