"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0050727","regulation of inflammatory response","11/48","460/18860",0.0239130434782609,9.39583333333333,9.20865657903667,1.61547325718309e-08,3.89005960329687e-05,2.16813516095625e-05,"SNCA/SOCS3/STAT3/ALOX5/CTSC/SERPINE1/PLA2G2A/CCR1/JAK2/EDNRB/CASP1",11
"BP","GO:0002532","production of molecular mediator involved in inflammatory response","7/48","128/18860",0.0546875,21.4876302083333,11.7480855633505,3.28498086012649e-08,3.91946829990887e-05,2.18452617694694e-05,"STAT3/ALOX5/SERPINE1/ALOX5AP/CCR1/JAK2/HIF1A",7
"BP","GO:0060397","growth hormone receptor signaling pathway via JAK-STAT","4/48","15/18860",0.266666666666667,104.777777777778,20.3102088524287,4.93728999286001e-08,3.91946829990887e-05,2.18452617694694e-05,"STAT3/JAK2/GHR/PTPN1",4
"BP","GO:0006979","response to oxidative stress","10/48","418/18860",0.0239234449760766,9.39992025518341,8.77246732064666,7.91940262456997e-08,3.91946829990887e-05,2.18452617694694e-05,"MGST1/SNCA/ALOX5/NQO1/FOS/JAK2/CD38/HIF1A/MAP2K1/MET",10
"BP","GO:0010562","positive regulation of phosphorus metabolic process","9/48","320/18860",0.028125,11.05078125,9.15972444964243,9.76611702635102e-08,3.91946829990887e-05,2.18452617694694e-05,"SNCA/STAT3/CDKN1A/FGF1/JAK2/HIF1A/MAP2K1/PIM1/RIPK2",9
"BP","GO:0045937","positive regulation of phosphate metabolic process","9/48","320/18860",0.028125,11.05078125,9.15972444964243,9.76611702635102e-08,3.91946829990887e-05,2.18452617694694e-05,"SNCA/STAT3/CDKN1A/FGF1/JAK2/HIF1A/MAP2K1/PIM1/RIPK2",9
"BP","GO:0062197","cellular response to chemical stress","9/48","335/18860",0.026865671641791,10.5559701492537,8.9141624339243,1.44128850055235e-07,4.95803244190007e-05,2.76337268902894e-05,"MGST1/SNCA/ALOX5/NQO1/FOS/SLC2A1/HIF1A/MET/CASP1",9
"BP","GO:0043434","response to peptide hormone","10/48","461/18860",0.0216919739696312,8.52313810556761,8.26066197618564,1.96621130130282e-07,5.58665932470688e-05,3.11373956941828e-05,"SOCS3/STAT3/FOS/PLA2G2A/JAK2/EDNRB/SLC2A1/GHR/PTPN1/HDAC9",10
"BP","GO:0032496","response to lipopolysaccharide","9/48","350/18860",0.0257142857142857,10.1035714285714,8.6837053901063,2.08803712302167e-07,5.58665932470688e-05,3.11373956941828e-05,"SNCA/CD14/NQO1/SERPINE1/FOS/JAK2/EDNRB/CASP1/RIPK2",9
"BP","GO:0043410","positive regulation of MAPK cascade","10/48","474/18860",0.0210970464135021,8.2893811533052,8.11892755889494,2.54139978774341e-07,6.11969068888612e-05,3.41082603091878e-05,"FGF1/PLA2G2A/CCR1/JAK2/PDE8B/NAMPT/MAP2K1/GHR/PTPN1/RIPK2",10
"BP","GO:0050729","positive regulation of inflammatory response","7/48","179/18860",0.0391061452513966,15.3654562383613,9.75457478486273,3.27084028248134e-07,6.63272432869359e-05,3.69676670706606e-05,"SNCA/STAT3/CTSC/SERPINE1/PLA2G2A/CCR1/CASP1",7
"BP","GO:0009636","response to toxic substance","8/48","270/18860",0.0296296296296296,11.641975308642,8.8966580419044,3.65631719483507e-07,6.63272432869359e-05,3.69676670706606e-05,"MGST1/ABCG2/NQO1/FOS/ALOX5AP/EPHX2/MT2A/PIM1",8
