node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
SNCA,2.0,0.30779,2.0,2.0,3.79,1.0,0.15942,17.78333,4.20425,0.0,0.0,1.0,
ALOX5AP,4.0,0.30898,3.0,3.0,2.398,1.0,0.23913,16.91667,4.11527,5.33333,12.0,0.66667,
BLM,1.0,0.0,1.0,1.0,2.282,1.0,0.15942,14.95,3.84833,0.0,0.0,0.0,
GHR,26.0,0.56839,4.0,6.0,6.463,5.0,0.31884,22.66667,4.8271,189.66667,526.0,0.4,
EPHA3,1.0,0.0,1.0,1.0,2.966,1.0,0.1913,19.11667,4.53792,0.0,0.0,0.0,
FGF1,19.0,0.45378,5.0,6.0,8.086,2.0,0.1913,21.78333,4.67139,27.99371,138.0,0.46667,
HTR4,1.0,0.0,1.0,1.0,1.14,1.0,0.04348,1.0,0.13043,0.0,0.0,0.0,
PLA2G2A,2.0,0.0,1.0,2.0,2.377,1.0,0.23913,16.33333,4.07078,5.4,14.0,0.0,
LDHA,24.0,0.56839,4.0,4.0,6.694,1.0,0.1913,20.78333,4.6269,0.0,0.0,1.0,
ABCG2,240.0,0.66569,6.0,6.0,8.16,1.0,0.1913,22.11667,4.71587,0.33333,2.0,0.93333,
MME,4.0,0.30898,3.0,3.0,3.878,2.0,0.1913,18.61667,4.31547,10.8,38.0,0.66667,
HIF1A,13664.0,0.47287,20.0,20.0,13.028,12.0,0.1913,29.95,5.13852,107.52845,402.0,0.40526,
CASP1,915.0,0.49207,11.0,12.0,10.401,3.0,0.1913,25.45,4.89383,130.29921,464.0,0.43939,
EPHX2,5.0,0.30779,2.0,5.0,3.395,4.0,0.23913,19.25,4.35996,196.03333,486.0,0.1,
SLC2A1,174.0,0.52483,8.0,8.0,8.785,1.0,0.1913,23.28333,4.78261,8.57845,46.0,0.64286,
HDAC9,2.0,0.30779,2.0,2.0,4.452,1.0,0.1913,19.61667,4.56016,0.0,0.0,1.0,
CD14,3.0,0.30779,2.0,3.0,3.787,1.0,0.23913,17.83333,4.24874,6.66667,16.0,0.33333,
CDKN1A,11646.0,0.6293,12.0,12.0,11.407,1.0,0.1913,25.61667,4.91608,17.32131,92.0,0.65152,
MGST1,2.0,0.30779,2.0,2.0,1.806,1.0,0.23913,15.75,3.9818,0.0,0.0,1.0,
JAK2,11604.0,0.5518,14.0,14.0,11.971,10.0,0.23913,27.41667,5.09403,81.96087,334.0,0.53846,
EDNRB,2.0,0.0,1.0,2.0,1.585,2.0,0.1913,13.91667,3.47017,84.0,216.0,0.0,
BCL2L1,12723.0,0.56083,15.0,16.0,12.246,2.0,0.1913,27.61667,5.00506,149.76746,480.0,0.46667,
ALOX5,9.0,0.30898,3.0,7.0,4.941,4.0,0.31884,23.5,4.89383,262.94896,554.0,0.19048,
PIM1,120.0,0.64826,5.0,5.0,7.801,1.0,0.1913,21.45,4.67139,0.0,0.0,1.0,
PTPN1,54.0,0.52304,6.0,6.0,8.201,1.0,0.23913,22.41667,4.78261,8.95714,46.0,0.73333,
PNP,3.0,0.30779,2.0,3.0,3.232,1.0,0.23913,17.91667,4.27098,32.06667,50.0,0.33333,
PDE5A,1.0,0.0,1.0,1.0,1.162,1.0,0.15942,10.61667,2.53589,0.0,0.0,0.0,
SOCS3,5814.0,0.57691,11.0,11.0,10.8,1.0,0.23913,25.58333,4.98281,41.97619,190.0,0.61818,
NQO1,246.0,0.5854,7.0,7.0,8.779,1.0,0.1913,23.11667,4.80485,9.64444,44.0,0.7619,
MET,852.0,0.54893,9.0,9.0,9.73,1.0,0.1913,23.95,4.8271,11.29512,54.0,0.63889,
FOS,13375.0,0.5564,16.0,17.0,12.45,3.0,0.1913,28.45,5.07179,141.53956,424.0,0.45588,
MAP2K1,5760.0,0.75809,8.0,8.0,10.153,1.0,0.1913,23.28333,4.78261,0.78571,6.0,0.92857,
ANPEP,2.0,0.30779,2.0,2.0,2.263,1.0,0.1913,15.45,3.89282,0.0,0.0,1.0,
DUSP16,1.0,0.0,1.0,1.0,2.878,1.0,0.15942,16.86667,4.13751,0.0,0.0,0.0,
CCR1,28.0,0.38039,6.0,6.0,7.256,1.0,0.23913,23.08333,4.87159,52.2986,194.0,0.53333,
CDK2,721.0,0.71324,6.0,7.0,8.984,2.0,0.1913,22.95,4.78261,84.0,218.0,0.71429,
PDE8B,1.0,0.0,1.0,1.0,1.631,1.0,0.23913,14.91667,3.89282,0.0,0.0,0.0,
STAT3,13759.0,0.36562,26.0,27.0,13.816,22.0,0.23913,34.58333,5.47219,694.50244,1638.0,0.26496,
KCNH2,1.0,0.0,1.0,1.0,1.14,1.0,0.04348,1.0,0.13043,0.0,0.0,0.0,
MT2A,7.0,0.46346,3.0,4.0,5.538,1.0,0.1913,20.95,4.64914,40.73333,124.0,0.5,
CCND1,12776.0,0.47747,18.0,18.0,12.707,3.0,0.1913,28.78333,5.07179,130.12033,442.0,0.42484,
CTSC,1.0,0.0,1.0,1.0,2.73,1.0,0.15942,16.53333,4.07078,0.0,0.0,0.0,
CD38,14.0,0.25611,7.0,7.0,6.683,3.0,0.23913,22.91667,4.80485,122.15348,356.0,0.33333,
SERPINE1,774.0,0.54893,9.0,9.0,9.933,1.0,0.1913,23.95,4.8271,11.61429,62.0,0.63889,
NAMPT,16.0,0.33284,6.0,6.0,7.431,1.0,0.23913,22.41667,4.78261,37.68095,158.0,0.46667,
RIPK2,1.0,0.0,1.0,1.0,2.442,1.0,0.15942,15.78333,3.95956,0.0,0.0,0.0,
